MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
6,4075,-20.9073,20.8261,44.6414,1,0
6,4079,-20.8571,21.816,44.6683,1,0
6,4080,-21.4893,22.0963,45.0747,1,0
7,4430,-22.1213,21.6156,45.4769,0,0
7,4430,-22.1213,21.6156,45.4769,3,0
7,4426,-22.1292,20.6046,45.4578,2,0
7,4422,-22.0646,19.5892,45.4592,1,0
7,4423,-22.6798,20.0522,45.8987,1,0
7,4427,-22.7101,21.0611,45.9035,1,0
7,4071,-21.5138,20.1976,45.0285,1,0
7,4076,-21.5321,21.1758,45.0404,1,0
7,4431,-22.6747,22.0709,45.9233,2,0
7,4434,-22.0126,22.663,45.5062,1,0
7,4435,-22.6106,23.0245,45.9802,1,0
7,4779,-23.2777,21.5322,46.3512,1,0
7,4782,-23.2381,22.5615,46.3846,1,0
7,4080,-21.4893,22.0963,45.0747,2,0
7,4079,-20.8571,21.816,44.6683,1,0
7,4084,-20.7789,22.7163,44.7361,1,0
7,4085,-21.372,22.8658,45.0964,1,0
8,4434,-22.0126,22.663,45.5062,0,0
8,4434,-22.0126,22.663,45.5062,3,0
8,4430,-22.1213,21.6156,45.4769,2,0
8,4426,-22.1292,20.6046,45.4578,1,0
8,4427,-22.7101,21.0611,45.9035,1,0
8,4431,-22.6747,22.0709,45.9233,1,0
8,4076,-21.5321,21.1758,45.0404,1,0
8,4080,-21.4893,22.0963,45.0747,1,0
8,4435,-22.6106,23.0245,45.9802,2,0
8,4438,-21.9516,23.6401,45.6412,1,0
8,4439,-22.4829,23.8247,46.0256,1,0
8,4782,-23.2381,22.5615,46.3846,1,0
8,4786,-23.1216,23.6525,46.4412,1,0
8,4085,-21.372,22.8658,45.0964,2,0
8,4084,-20.7789,22.7163,44.7361,1,0
8,4089,-20.8712,23.3992,44.9059,1,0
8,4440,-21.4114,23.5925,45.2797,1,0
9,4438,-21.9516,23.6401,45.6412,0,0
9,4438,-21.9516,23.6401,45.6412,3,0
9,4434,-22.0126,22.663,45.5062,2,0
9,4430,-22.1213,21.6156,45.4769,1,0
9,4431,-22.6747,22.0709,45.9233,1,0
9,4435,-22.6106,23.0245,45.9802,1,0
9,4080,-21.4893,22.0963,45.0747,1,0
9,4085,-21.372,22.8658,45.0964,1,0
9,4440,-21.4114,23.5925,45.2797,1,0
9,4439,-22.4829,23.8247,46.0256,2,0
9,4443,-21.9706,24.3543,45.8156,1,0
9,4786,-23.1216,23.6525,46.4412,1,0
9,4792,-22.4974,24.56,46.2152,1,0
9,4445,-21.2441,24.5835,45.4633,2,0
